Name;Measure;Geo Type Name;Geo Place Name;Time Period
Nitrogen dioxide (NO2);Mean;UHF34;Bedford Stuyvesant - Crown Heights;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF34;Bedford Stuyvesant - Crown Heights;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF34;East New York;Annual Average 2015
Nitrogen dioxide (NO2);Mean;UHF34;Fordham - Bronx Pk;Annual Average 2015
Nitrogen dioxide (NO2);Mean;UHF34;Pelham - Throgs Neck;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF34;Pelham - Throgs Neck;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF34;Chelsea-Village;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF34;Chelsea-Village;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF42;Borough Park;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF42;Borough Park;Annual Average 2013
Nitrogen dioxide (NO2);Mean;UHF42;High Bridge - Morrisania;Annual Average 2013
Nitrogen dioxide (NO2);Mean;UHF42;High Bridge - Morrisania;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF42;High Bridge - Morrisania;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF42;Bensonhurst - Bay Ridge;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF42;Bensonhurst - Bay Ridge;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF42;Coney Island - Sheepshead Bay;Summer 2009
Nitrogen dioxide (NO2);Mean;UHF42;Coney Island - Sheepshead Bay;Winter 2010-11
Nitrogen dioxide (NO2);Mean;UHF42;Coney Island - Sheepshead Bay;Annual Average 2013
Nitrogen dioxide (NO2);Mean;UHF42;Rockaways;Annual Average 2021
Nitrogen dioxide (NO2);Mean;CD;Mott Haven and Melrose (CD1);Annual Average 2017
Nitrogen dioxide (NO2);Mean;CD;Financial District (CD1);Winter 2014-15
Nitrogen dioxide (NO2);Mean;CD;Financial District (CD1);Annual Average 2021
Nitrogen dioxide (NO2);Mean;CD;Greenwich Village and Soho (CD2);Winter 2010-11
Nitrogen dioxide (NO2);Mean;CD;Greenwich Village and Soho (CD2);Summer 2009
Nitrogen dioxide (NO2);Mean;CD;Greenwich Village and Soho (CD2);Annual Average 2013
Nitrogen dioxide (NO2);Mean;CD;Woodside and Sunnyside (CD2);Winter 2014-15
Nitrogen dioxide (NO2);Mean;CD;Woodside and Sunnyside (CD2);Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;Bedford Stuyvesant - Crown Heights;Winter 2009-10
